,tny_id,tny_name,surface,tny_date,match_year,match_month,p0_name,p1_name,p0_elo,p1_elo,p0_sf_elo,p1_sf_elo,p0_elo_538,p1_elo_538,p0_sf_elo_538,p1_sf_elo_538,p0_52_swon,p0_52_svpt,p1_52_swon,p1_52_svpt,p0_52_rwon,p0_52_rpt,p1_52_rwon,p1_52_rpt,elo_diff,sf_elo_diff,elo_diff_538,sf_elo_diff_538,p0_s_pct,p0_r_pct,p1_s_pct,p1_r_pct,p0_s_pct_JS,p1_s_pct_JS,p0_r_pct_JS,p1_r_pct_JS,p0_sf_52_swon,p0_sf_52_svpt,p1_sf_52_swon,p1_sf_52_svpt,p0_sf_52_rwon,p0_sf_52_rpt,p1_sf_52_rwon,p1_sf_52_rpt,p0_sf_s_pct,p0_sf_r_pct,p1_sf_s_pct,p1_sf_r_pct,p0_sf_s_pct_JS,p1_sf_s_pct_JS,p0_sf_r_pct_JS,p1_sf_r_pct_JS,avg_52_s,avg_52_r,sf_avg_52_s,sf_avg_52_r,tny_stats,best_of,score,pbp,winner,match_id,p0_s_kls,p1_s_kls,p0_s_kls_JS,p1_s_kls_JS,p0_sf_s_kls,p1_sf_s_kls,p0_sf_s_kls_JS,p1_sf_s_kls_JS,p0_s_wgt0.1,p1_s_wgt0.1,match_prob_wgt_0.1,p0_s_wgt0.2,p1_s_wgt0.2,match_prob_wgt_0.2,p0_s_wgt0.3,p1_s_wgt0.3,match_prob_wgt_0.3,p0_s_wgt0.4,p1_s_wgt0.4,match_prob_wgt_0.4,p0_s_wgt0.5,p1_s_wgt0.5,match_prob_wgt_0.5,p0_s_wgt0.6,p1_s_wgt0.6,match_prob_wgt_0.6,p0_s_wgt0.7,p1_s_wgt0.7,match_prob_wgt_0.7,p0_s_wgt0.8,p1_s_wgt0.8,match_prob_wgt_0.8,p0_s_wgt0.9,p1_s_wgt0.9,match_prob_wgt_0.9,match_prob_kls,match_prob_kls_JS,match_prob_sf_kls,match_prob_sf_kls_JS,match_z_kls,match_z_kls_JS
0,2014-301,Auckland,Hard,2014-01-06,2014,1,Donald Young,Federico Delbonis,1546.54052774,1711.11732374,1529.77677405,1493.23575456,1774.12029794,1998.45256832,1714.55357707,1564.53905506,171.0,316.0,1001.0,1566.0,136.0,305.0,551.0,1516.0,-164.576796,36.5410194825,-224.332270385,150.014522011,0.541139240506,0.445901639344,0.639208173691,0.36345646438,0.574336358816,0.639249610024,0.411483558818,0.363085550863,171.0,316.0,155.0,257.0,136.0,305.0,66.0,218.0,0.541139240506,0.445901639344,0.603112840467,0.302752293578,0.566350488266,0.613972917238,0.420391712323,0.324223464128,0.631141995854,0.368858004146,0.633989283122,0.366010716878,0.658301158301,3,7-5 6-2,SSSRS;SSRSRA;RSRRSSSRSS;SRSSS;SSSS;SRRSSS;RSSRSRDR;RSRRASRSRR;SSAS;SSSS;SSRSDRSS;RSSSRDRD.SDSDSS;SSSRRRRR;SSSRS;SSRSS;SSSS;SRSRRSRSSS;SRSSS;RRSRSSRSSRSRSRRSSRRR,1,42810,0.573699942719,0.589323700939,0.607267974545,0.623783217798,0.628709538985,0.547533793179,0.632449616195,0.583903796971,0.610355596164,0.62036473317,0.449143445575,0.613443217783,0.616946248541,0.482155483994,0.616530839401,0.613527763912,0.515301294603,0.61961846102,0.610109279283,0.548349909201,0.622706082639,0.606690794654,0.581072224676,0.625793704257,0.603272310024,0.613245836542,0.628881325875,0.599853825395,0.644659639843,0.631968947494,0.596435340766,0.675118036351,0.635056569113,0.593016856137,0.704444606496,0.418904797735,0.416493119035,0.854691039428,0.733462685411,-0.204696064384,-0.210873173242
1,2014-301,Auckland,Hard,2014-01-06,2014,1,Albert Montanes,Santiago Giraldo,1711.29342661,1645.67964886,1512.89179534,1584.42149749,1962.24081144,1886.32732402,1694.39212726,1760.17729206,1649.0,2696.0,1636.0,2650.0,957.0,2601.0,914.0,2634.0,65.6137777499,-71.5297021545,75.9134874259,-65.7851648018,0.611646884273,0.367935409458,0.617358490566,0.347000759301,0.613221490501,0.618632492029,0.367380265362,0.347965652488,197.0,354.0,784.0,1280.0,78.0,298.0,430.0,1269.0,0.556497175141,0.261744966443,0.6125,0.338849487786,0.576030308647,0.614625122334,0.291626153605,0.340841162397,0.631136610159,0.368863389841,0.633976976967,0.366023023033,0.658301158301,3,6-1 7-6,RRARSR;SRSDSS;RRSSRSRSSS;RSSAS;SRSRDSRSRSRR;SRRSSS;RRRR.SARAS;RRSDR;RRASAA;SSRSS;RSRRSR;SSSDRDSS;RSSRAS;SSRSS;RASRSRRSSS;SSSS;SSARDRSS;SSSS;S/SR/RS/SR/SA/R,0,42811,0.660674062954,0.64545101909,0.661283775996,0.647280164649,0.607994891723,0.741102237925,0.625536350618,0.713346173097,0.65827710682,0.654454838856,0.518698539961,0.655270437643,0.661629513062,0.46898194438,0.652263768467,0.668804187269,0.419971587284,0.649257099291,0.675978861475,0.372401056974,0.646250430114,0.683153535681,0.326927819511,0.643243760938,0.690328209887,0.284107477005,0.640237091762,0.697502884093,0.244376130393,0.637230422586,0.7046775583,0.208041476655,0.634223753409,0.711852232506,0.17528240903,0.574324192933,0.568343995822,0.055442538286,0.14460998605,0.187394143433,0.172159663314
2,2014-301,Auckland,Hard,2014-01-06,2014,1,Guillermo Garcia,Robin Haase,1743.40500121,1795.10350602,1603.48083324,1630.83303782,1976.9412715,2026.43501734,1788.19752996,1812.06276509,1821.0,3020.0,2751.0,4372.0,1196.0,3060.0,1479.0,4102.0,-51.6985048139,-27.3522045801,-49.4937458444,-23.8652351256,0.60298013245,0.390849673203,0.62923147301,0.360555826426,0.604831966505,0.629600764684,0.388931994017,0.360545843429,559.0,903.0,1193.0,1898.0,371.0,945.0,629.0,1791.0,0.619047619048,0.392592592593,0.628556375132,0.351200446678,0.621261268085,0.62915740508,0.388704192984,0.351817503123,0.631123958271,0.368876041729,0.633951013904,0.366048986096,0.658301158301,3,4-6 7-5 7-6,SSADS;SSSS;DSSSS;SSDRSS;RRRR;SSSRA;SRSRSS;SSSRS;SSRDRSSRRSSS;SRSDSS.SSSRRS;RRARR;SSRSRS;SRSDSS;RSSSS;AASS;RSSRSRRR;SRSSRS;SSSA;SRSSA;SSSA;SRRRR.SSRSS;SRSRRR;RSSSDS;SSSRS;RSRDSSAS;SSRSRRSS;RSRDR;SRSSA;SSRSRRSS;SSRRSRAS;RSSSS;RSSSS;S/DS/SS/RS/RR/RR,1,42812,0.638477547783,0.634435041566,0.640339364835,0.636722012425,0.658246302862,0.626362913032,0.659842895455,0.63085234259,0.642855129024,0.636700456569,0.530616325106,0.645370893212,0.636678900712,0.543141400647,0.647886657401,0.636657344855,0.555591502064,0.650402421589,0.636635788998,0.567954545165,0.652918185778,0.636614233141,0.580218810356,0.655433949967,0.636592677283,0.592372973932,0.657949714155,0.636571121426,0.60440613684,0.660465478344,0.636549565569,0.616307850839,0.662981242532,0.636528009712,0.628068141959,0.520187472351,0.51802869055,0.654252721036,0.640470470439,0.0506241039203,0.0452066184315
3,2014-301,Auckland,Hard,2014-01-06,2014,1,Steve Johnson,Marcos Baghdatis,1517.06553288,1774.37551852,1502.27687315,1751.63073374,1729.22486958,2036.90506385,1663.41877961,1968.20197471,768.0,1222.0,1442.0,2261.0,321.0,1069.0,744.0,2238.0,-257.309985639,-249.353860583,-307.680194271,-304.783195101,0.628477905074,0.300280636109,0.637770897833,0.332439678284,0.629776092226,0.637895764614,0.309956971855,0.334784361978,524.0,820.0,1093.0,1694.0,218.0,732.0,582.0,1689.0,0.639024390244,0.29781420765,0.645218417946,0.34458259325,0.639098030407,0.644882921894,0.307218771858,0.345705795169,0.631127626512,0.368872373488,0.63395497864,0.36604502136,0.658301158301,3,7-5 6-7 6-4,RSSSS;SSSS;SRRRSSSS;RRRSSSSS;RRSSSS;RSSSS;SSSS;RSSSS;RSSSRRRR;SSRRRR;SSSS;SRRRR.RRSSSS;RSSSS;RSSSS;RRRSSSSS;RRSSSS;SSSS;RSSSS;RSRSRSRSSRSS;SRSSS;SRRSSS;RRSSSS;RSSSS;S/RS/RR/SS/RS/S.RSSSS;SRSSRRSS;SRSSS;SRSSS;SSRRSS;SRRSRSSS;RRRSR;RSSSS;RSSRSS;SSSS,1,42813,0.692084132067,0.733536167002,0.691037635526,0.723984698037,0.684832998016,0.737795411318,0.68378343626,0.728055351058,0.690877686024,0.724957233764,0.346995861572,0.690717736523,0.725929769491,0.34225797791,0.690557787022,0.726902305219,0.337549756395,0.690397837521,0.727874840947,0.332871763639,0.69023788802,0.728847376675,0.328224550194,0.690077938519,0.729819912402,0.323608650451,0.689917989018,0.73079244813,0.319024582548,0.689758039517,0.731764983858,0.314472848285,0.689598090016,0.732737519585,0.309953933063,0.31717580222,0.351762824837,0.271349377563,0.304210928371,-0.475610905687,-0.380565547916
4,2014-301,Auckland,Hard,2014-01-06,2014,1,Yen Hsun,Igor Sijsling,1719.70368132,1672.62492453,1638.84223526,1557.63293987,1953.11634555,1908.7476222,1815.49134717,1728.20930471,1346.0,2160.0,1919.0,2951.0,884.0,2262.0,1061.0,3017.0,47.0787567861,81.2092953905,44.3687233479,87.2820424565,0.623148148148,0.390804597701,0.650288037953,0.351673848194,0.624290465036,0.649739144822,0.3882704283,0.352226346541,999.0,1581.0,1083.0,1677.0,699.0,1722.0,562.0,1702.0,0.631878557875,0.405923344948,0.645796064401,0.330199764982,0.632378660016,0.645422216974,0.402733766036,0.332332528084,0.63115389498,0.36884610502,0.634001846533,0.365998153467,0.658301158301,3,7-5 7-6,RRSSSS;RRSRSSSRSS;SSSDRS;ASRAS;SRRASS;SASS;RRRSR;SAAS;RRSSSS;RASRRR;SSSS;RRRD.RSSSS;SSSS;RSSSS;SSSRS;SRRSAS;RRSSSS;RSSRSS;RDARASRR;SSRSRRRR;SARRSS;SSSDS;RSSRAS;R/SS/SR/RS/SS/RS/SA/AR/S,1,42814,0.667467668296,0.655476808594,0.668057486837,0.657462084864,0.691976258128,0.630170184689,0.690343597168,0.632985916174,0.67085568818,0.655584058305,0.57374737399,0.673653889523,0.653706031746,0.595888605908,0.676452090867,0.651828005188,0.617701654478,0.679250292211,0.649949978629,0.639122052491,0.682048493554,0.648071952071,0.660089271207,0.684846694898,0.646193925513,0.680547213491,0.687644896242,0.644315898954,0.700444634721,0.690443097586,0.642437872396,0.719735486877,0.693241298929,0.640559845837,0.738379182906,0.558144826946,0.551345805311,0.774451389029,0.757718821019,0.146267341685,0.129062253648
5,2014-301,Auckland,Hard,2014-01-06,2014,1,Bradley Klahn,Daniel Brands,1501.505167,1783.44763782,1497.49387289,1686.76899954,1618.96341945,2037.79479861,1559.07775862,1920.48337425,254.0,372.0,1999.0,3046.0,152.0,448.0,1025.0,3087.0,-281.942470824,-189.275126653,-418.831379156,-361.405615639,0.682795698925,0.339285714286,0.656270518713,0.332037576936,0.669786369719,0.655438250447,0.345903625753,0.333802695179,214.0,313.0,897.0,1366.0,131.0,375.0,486.0,1422.0,0.683706070288,0.349333333333,0.656661786237,0.341772151899,0.672352216795,0.655408306584,0.352161522456,0.343323347211,0.631159469201,0.368840530799,0.634010209521,0.365989790479,0.658301158301,3,7-5 4-6 6-3,SSSS;RRASRSRSAS;SDRSSA;SRRDSSRARSSS;SRRSRSAS;DSSSS;SSAS;RRSSRARSSRRSSS;SSRRSS;SSSRRS;SRRRSSSS;SRRSRSRR.RSSARS;SSSRS;SSSRRS;SSSRRRSS;RRRSSR;SSSRS;SSRSRS;SSSA;SRSRARRSSRSRRSAA;SRSDSS.RSRSAS;SRRSSRSS;SRRSSS;RSSDSA;RSSAS;RSSRSRSS;RASSS;RRRSR;SDSSS,1,42815,0.746740341888,0.712967024327,0.73196589444,0.705516844593,0.732214657649,0.697609192164,0.719309608844,0.693527523387,0.731270413943,0.704888060536,0.618193021016,0.730574933448,0.70425927648,0.617998878978,0.729879452952,0.703630492423,0.617804228415,0.729183972457,0.703001708367,0.61760906641,0.728488491961,0.70237292431,0.617413390126,0.727793011465,0.701744140253,0.617217196804,0.72709753097,0.701115356197,0.617020483763,0.726402050474,0.70048657214,0.616823248394,0.725706569979,0.699857788084,0.616625488163,0.647753710397,0.618386657536,0.653959525643,0.617234636383,0.379262991017,0.301246301794
6,2014-301,Auckland,Hard,2014-01-06,2014,1,Pablo Carreno,Philipp Kohlschreiber,1575.20325683,1892.78945516,1486.49388291,1787.30272551,1822.3896642,2134.30369183,1538.79318476,1982.02043268,622.0,1085.0,2341.0,3559.0,377.0,1003.0,1334.0,3636.0,-317.58619833,-300.808842597,-311.914027632,-443.227247925,0.573271889401,0.375872382851,0.657769036246,0.366886688669,0.581830981283,0.656986849652,0.373234583892,0.366537167882,179.0,299.0,1092.0,1683.0,108.0,307.0,616.0,1711.0,0.598662207358,0.351791530945,0.648841354724,0.360023378141,0.609589939182,0.648284033899,0.354330629861,0.360046116208,0.63116638514,0.36883361486,0.634020222706,0.365979777294,0.658301158301,3,6-2 3-6 7-5,DSRRR;RSSRSA;RRRR;RSRSRR;RSSRRSDR;SSRSA;SSSRS;SSRSA.ASRSS;SSSA;SSSRRS;RSRASA;SASS;RSSRSS;DRSSSRSS;RRRR;SSRSA.SRSSRS;SSSS;RSSAS;SRRSSS;SRSSS;RSSSS;ASSRS;RSSRRSSS;RRSSSS;SDSSS;SSARS;RSRSARRSRR,0,42816,0.602353588754,0.677865041416,0.611262201424,0.679720653782,0.628899542106,0.687310536669,0.639804535864,0.684214116928,0.614687202379,0.680740767609,0.207012787394,0.618112203337,0.681760881437,0.216129669076,0.621537204294,0.682780995264,0.225439885314,0.624962205251,0.683801109092,0.234936447,0.628387206209,0.68482122292,0.244611893195,0.631812207166,0.685841336748,0.254458317351,0.635237208123,0.686861450576,0.264467395596,0.63866220908,0.687881564403,0.274630416839,0.642087210038,0.688901678231,0.284938314512,0.173423827362,0.198095733583,0.237437587743,0.294199315515,-0.940721389537,-0.848442706734
7,2014-301,Auckland,Hard,2014-01-06,2014,1,Horacio Zeballos,Filippo Volandri,1606.51553836,1619.93179935,1483.05819103,1342.78043908,1829.91764713,1838.74947309,1639.91118114,1459.33179094,1743.0,2764.0,639.0,1089.0,835.0,2579.0,420.0,1070.0,-13.4162609915,140.277751952,-8.83182596321,180.579390203,0.630607814761,0.323768902675,0.586776859504,0.392523364486,0.631104567571,0.5935728315,0.326465710122,0.387343848888,517.0,845.0,56.0,117.0,223.0,752.0,35.0,127.0,0.611834319527,0.296542553191,0.478632478632,0.275590551181,0.615004628402,0.556175773843,0.305920672243,0.318394174113,0.631171107994,0.368828892006,0.634026815082,0.365973184918,0.658301158301,3,6-0 7-6,SSARDS;RSRADSRR;SRSSDRSS;RRRR;SSDRSRSDRSSS;RSSRRSRR.RASRRR;SSRSS;SARRSS;SRRSRR;RRRD;SSSRRS;RSSRSRRSSS;SRSSS;SSRRRSSDSA;RRSSSRRR;SSARS;SDSRRSRSSS;S/RA/SS/RR/S,1,42817,0.634043392588,0.658966899141,0.639719660995,0.66306606369,0.726491296482,0.572337453577,0.686857982426,0.640502629737,0.645004634557,0.661380861713,0.420130449369,0.650289608117,0.659695659735,0.454003657991,0.655574581678,0.658010457758,0.488086578887,0.660859555238,0.65632525578,0.522124877654,0.666144528799,0.654640053802,0.555868207238,0.67142950236,0.652954851824,0.589075761717,0.67671447592,0.651269649846,0.621521360224,0.681999449481,0.649584447869,0.652997887829,0.687284423041,0.647899245891,0.683320958719,0.378698646828,0.386719455202,0.97089520935,0.713555661261,-0.30890039851,-0.287879590364
8,2014-301,Auckland,Hard,2014-01-06,2014,1,Jose Rubin,Lukas Lacko,1590.17233091,1675.78977874,1569.18732607,1649.65981735,1696.34009313,1902.85874202,1667.07514605,1831.42323333,0.0,0.0,886.0,1519.0,0.0,0.0,492.0,1410.0,-85.6174478364,-80.4724912821,-206.518648888,-164.348087276,0.639653640107,0.360346359893,0.583278472679,0.348936170213,0.639653640107,0.588669108906,0.360346359893,0.350386257778,0.0,0.0,722.0,1235.0,0.0,0.0,417.0,1154.0,0.639653640107,0.360346359893,0.584615384615,0.361351819757,0.639653640107,0.589067094376,0.360346359893,0.361250318296,0.631135496569,0.368864503431,0.633957325863,0.366042674137,0.658301158301,3,6-3 6-1,None,0,42818,0.686747635057,0.618962277949,0.685297547491,0.624352914176,0.668688326924,0.614655531297,0.668789828385,0.619107241058,0.68421114144,0.624392712723,0.768756560691,0.683124735388,0.62443251127,0.764653373421,0.682038329337,0.624472309817,0.76050496373,0.680951923285,0.624512108364,0.756311555324,0.679865517233,0.624551906911,0.752073393269,0.678779111181,0.624591705458,0.747790744199,0.677692705129,0.624631504005,0.743463896506,0.676606299078,0.624671302552,0.739093160513,0.675519893026,0.624711101099,0.734678868639,0.797771379668,0.772814322976,0.749395005273,0.731409420514,0.833687257216,0.748147234187
9,2014-301,Auckland,Hard,2014-01-06,2014,1,Michal Przysiezny,Benoit Paire,1598.10179514,1769.17557927,1506.18228703,1662.45156708,1839.46076864,2012.77948588,1683.61739843,1857.47288045,1194.0,1855.0,2810.0,4583.0,552.0,1714.0,1750.0,4493.0,-171.07378413,-156.269280051,-173.318717246,-173.855482016,0.643665768194,0.322053675613,0.613135500764,0.389494769642,0.643346078448,0.614033330301,0.326149362164,0.388221192096,753.0,1163.0,1417.0,2306.0,340.0,1096.0,871.0,2244.0,0.647463456578,0.310218978102,0.6144839549,0.388146167558,0.646796003131,0.615616815733,0.315518831947,0.386628530129,0.631113650698,0.368886349302,0.633914202952,0.366085797048,0.658301158301,3,6-4 6-2,SSAS;DSARSS;SRSSRS;SSRSS;SSRSS;SSAS;SRRSSRSRRSRR;ASDAA;DSSSS;RSASRS.SSSS;SSSA;SRASRRRR;SSSS;RRSRSSRR;ASAS;SRSSS;SAAS,0,42819,0.650244855458,0.687155682057,0.651198743257,0.683957825042,0.649790041417,0.694737729196,0.650640225399,0.690570736183,0.651703001922,0.685179226607,0.342704612312,0.652207260587,0.686400628172,0.339670279512,0.652711519252,0.687622029737,0.336652823375,0.653215777917,0.688843431302,0.333652356629,0.653720036582,0.690064832866,0.330668987333,0.654224295247,0.691286234431,0.327702818916,0.654728553912,0.692507635996,0.32475395021,0.655232812577,0.693729037561,0.321822475487,0.655737071242,0.694950439126,0.318908484507,0.327618268604,0.345755704342,0.294100453943,0.314916625039,-0.446499412056,-0.39680480291
